Year,AnnualCO2,logCO2,AnnualCO2_err,logCO2_err
1910,10307977000.0000,10.0132,792037489.5754,0.0334
1911,10461305000.0000,10.0196,420150039.2930,0.0174
1912,10507465000.0000,10.0215,996453794.9844,0.0412
1913,10655274000.0000,10.0276,726605584.1715,0.0296
1914,10391972000.0000,10.0167,1589799506.5032,0.0664
1915,10335395000.0000,10.0143,1474847906.4083,0.0620
1916,10589467000.0000,10.0249,985069648.5728,0.0404
1917,10808521000.0000,10.0338,1497560366.8899,0.0602
1918,10762877000.0000,10.0319,1729700649.4034,0.0698
1919,10205527000.0000,10.0088,1606156317.9035,0.0683
1920,10903476000.0000,10.0376,1090860571.4988,0.0434
1921,10669232000.0000,10.0281,1659167154.9082,0.0675
1922,10836915000.0000,10.0349,884032030.6833,0.0354
1923,11464264000.0000,10.0593,1825784942.9026,0.0692
1924,11524160000.0000,10.0616,1238422663.0672,0.0467
1925,11588408000.0000,10.0640,1308973798.4292,0.0491
1926,11550636000.0000,10.0626,1099433326.3829,0.0413
1927,12000633000.0000,10.0792,1186725358.7543,0.0429
1928,11979465000.0000,10.0784,823870585.2943,0.0299
1929,12288142000.0000,10.0895,1783823851.2427,0.0630
1930,12089384000.0000,10.0824,853948173.7178,0.0307
1931,11823244000.0000,10.0727,1319589951.7564,0.0485
1932,11523510000.0000,10.0616,1159969707.4864,0.0437
1933,11804024000.0000,10.0720,1517987214.8822,0.0558
1934,12206737000.0000,10.0866,1708363748.8992,0.0608
1935,12362917000.0000,10.0921,1909087751.3786,0.0671
1936,12856831000.0000,10.1091,1857713580.9441,0.0628
1937,13279804000.0000,10.1232,1626918571.4993,0.0532
1938,13073998000.0000,10.1164,689331809.4009,0.0229
1939,13315615000.0000,10.1244,842732512.5978,0.0275
1940,13902011000.0000,10.1431,730435436.9139,0.0228
1941,14365789000.0000,10.1573,1345178253.3155,0.0407
1942,14454576000.0000,10.1600,2273438927.1121,0.0683
1943,14616533000.0000,10.1648,2252123491.6983,0.0669
1944,14792170000.0000,10.1700,972620586.5146,0.0286
1945,13952066000.0000,10.1446,1850156659.8284,0.0576
1946,14398192000.0000,10.1583,2189713846.8856,0.0660
1947,15127643000.0000,10.1798,1239606197.1823,0.0356
1948,15441084000.0000,10.1887,953560725.7156,0.0268
1949,15218637000.0000,10.1824,763041336.5642,0.0218
1950,16669636000.0000,10.2219,1090662396.8511,0.0284
1951,17591742000.0000,10.2453,2250924401.6814,0.0556
1952,17698888000.0000,10.2479,1166431952.4962,0.0286
1953,18106272000.0000,10.2578,2609861616.0821,0.0626
1954,18767930000.0000,10.2734,2254380489.0595,0.0522
1955,19766900000.0000,10.2959,2519809931.8397,0.0554
1956,20498287000.0000,10.3117,2561591877.3067,0.0543
1957,21006020000.0000,10.3223,2050714815.5354,0.0424
1958,21251504000.0000,10.3274,1633511537.6581,0.0334
1959,22477308000.0000,10.3517,2919547682.0457,0.0564
1960,22127307000.0000,10.3449,1606272150.9665,0.0315
1961,22371980000.0000,10.3497,3168200422.0998,0.0615
1962,22341622000.0000,10.3491,1665322490.6377,0.0324
1963,22862530000.0000,10.3591,1823111069.0500,0.0346
1964,23258208000.0000,10.3666,2156212167.4863,0.0403
1965,23714190000.0000,10.3750,2463335702.8164,0.0451
1966,24118213000.0000,10.3823,1141725610.5911,0.0206
1967,24786098000.0000,10.3942,1837415445.3195,0.0322
1968,25522776000.0000,10.4069,2726552176.2770,0.0464
